781056025,17 ocak 2020,ford,focus,1.6 tdci trend,2010,dizel,manuel,200.000,sedan,110,1560,önden çekiş,gri,evet,türkiye (tr) plakalı,galeriden,evet,i̇kinci el,45.500,İstanbul,Büyükçekmece,Mimaroba
781034982,17 ocak 2020,ford,focus,1.5 tdci trend x,2015,dizel,yarı otomatik,115.000,sedan,120,1499,önden çekiş,kahverengi,evet,türkiye (tr) plakalı,galeriden,evet,i̇kinci el,119.900,Zonguldak,Ereğli,Gülüç Bld. (Çengel Mh.)
769653835,17 ocak 2020,ford,focus,1.6 tdci collection,2011,dizel,manuel,161.000,sedan,110,1560,önden çekiş,siyah,hayır,türkiye (tr) plakalı,galeriden,evet,i̇kinci el,70.000,Tokat,Merkez,Yeniyurt Mah.
780982764,17 ocak 2020,ford,focus,1.5 ti-vct trend x,2019,benzin,manuel,5.000,sedan,123,1497,önden çekiş,füme,evet,türkiye (tr) plakalı,galeriden,evet,i̇kinci el,138.900,İzmir,Buca,Yenigün Mh.
780962933,17 ocak 2020,ford,focus,1.6 tdci trend x,2013,dizel,manuel,158.000,sedan,95,1560,önden çekiş,gri,evet,türkiye (tr) plakalı,galeriden,hayır,i̇kinci el,81.500,Gaziantep,Nizip,Fatih Sultan Mh.
780931977,17 ocak 2020,ford,focus,1.6 tdci trend x,2017,dizel,manuel,84.000,sedan,95,1560,önden çekiş,beyaz,hayır,türkiye (tr) plakalı,galeriden,evet,i̇kinci el,107.000,Antalya,Serik,Orta Mah.
780894167,17 ocak 2020,ford,focus,1.6 ti-vct style,2015,benzin & lpg,yarı otomatik,116.265,sedan,125,1596,önden çekiş,lacivert,hayır,türkiye (tr) plakalı,galeriden,hayır,i̇kinci el,109.000,Mersin,Toroslar,Korukent Mah.
780659088,16 ocak 2020,ford,focus,1.5 tdci trend x,2017,dizel,yarı otomatik,49.000,sedan,120,1499,önden çekiş,beyaz,evet,türkiye (tr) plakalı,galeriden,evet,i̇kinci el,114.750,İstanbul,Bağcılar,100. Yıl Mh.
780632931,16 ocak 2020,ford,focus,1.6 tdci trend x,2016,dizel,manuel,108.000,sedan,95,1560,önden çekiş,beyaz,hayır,türkiye (tr) plakalı,galeriden,evet,i̇kinci el,106.500,Adıyaman,Kahta,Yavuz Selim Mah.
780576489,16 ocak 2020,ford,focus,1.6 tdci style,2014,dizel,manuel,42.000,hatchback 5 kapı,115,1560,önden çekiş,kırmızı,hayır,türkiye (tr) plakalı,galeriden,hayır,i̇kinci el,75.500,Niğde,Merkez,İlhanlı Mh.
780554322,16 ocak 2020,ford,focus,1.6 tdci trend x,2010,dizel,manuel,168.000,sedan,90,1560,önden çekiş,gümüş gri,evet,türkiye (tr) plakalı,galeriden,evet,i̇kinci el,62.250,Kayseri,Melikgazi,Keykubat Mah.
780535521,16 ocak 2020,ford,focus,1.6 tdci trend,2012,dizel,manuel,170.000,sedan,95,1560,önden çekiş,beyaz,hayır,türkiye (tr) plakalı,galeriden,evet,i̇kinci el,68.500,Samsun,Canik,Belediye Evleri Mah.
769137787,16 ocak 2020,ford,focus,1.5 tdci trend x,2016,dizel,yarı otomatik,100.000,sedan,120,1499,önden çekiş,beyaz,hayır,türkiye (tr) plakalı,galeriden,evet,i̇kinci el,102.750,İstanbul,Ataşehir,Kayışdağı Mh.
780267959,15 ocak 2020,ford,focus,1.6 tdci trend x,2015,dizel,manuel,160.000,sedan,95,1560,önden çekiş,beyaz,hayır,türkiye (tr) plakalı,galeriden,evet,i̇kinci el,95.750,Ankara,Akyurt,Saracalar Mah.
780239564,15 ocak 2020,ford,focus,1.5 ti-vct trend x,2019,benzin,manuel,16.900,sedan,123,1497,önden çekiş,beyaz,evet,türkiye (tr) plakalı,galeriden,evet,i̇kinci el,129.500,Yozgat,Yerköy,Haşim Kılıç Mh.
780147865,15 ocak 2020,ford,focus,1.6 ti-vct trend,2012,benzin & lpg,yarı otomatik,143.000,sedan,125,1596,önden çekiş,gri,evet,türkiye (tr) plakalı,galeriden,evet,i̇kinci el,79.750,İstanbul,Bağcılar,Göztepe Mh.
